Book, Chapter, Verse, Text
"2TH","1","11","इस खातर अहें सदा तुहां खातर प्राथना कराँ ये भई अहांरा परमेशरा तुहांजो अपणिया बुलाहटा रे लायक बणाई दो, कने सै तुहांरे भले काम्म करने री हरेक इच्छा कने तुहांरे विश्वासा रे जरिये कित्तिरे हरेक कम्मां जो अपणिया सामर्था सौगी पूरा करो,"
"2TH","1","12","अहें ये प्राथना कराँ ये ताकि अहांरे परमेशरा कने प्रभु यीशु मसीह रे अनुग्रह रे मुतावक अहांरे प्रभु यीशुये रा नौं तुहां च महिमा पाओ, कने तुहां आदर पाणा काँह्भई तुहें तिसरे इ हाये।"
"2TH","2","1","अरे साथी विश्वासियो, हुण अहें अपणे प्रभु यीशु मसीह रे दुज्जी बार औणे, कने तिस सौगी अहांरे कट्ठे हुणे रे बारे च तुहाँजो विनती कराँ ये।"
"2TH","2","2","तुहें सानिया ने किसी भविष्यवाणी, किसी उपदेश यनि किसी येढ़िया चिट्ठिया ते अपणे मना च दुखी नीं हुयां कने मत डरयां तिसाजो जे अहांरे जरिये लिखिरा समझया जान्दा हो कने तिसच जे इस तरीके ने दस्या गया हो भई प्रभुये रे औणे रा दिन आई चुक्कीरा।"
"2TH","2","3","कोई तुहांजो किसी बी तरीके ने धोखा नीं देओ, काँह्भई सै दिन तदुआं तक नीं औणा तदुआं तक जे परमेशरा रे बरोधा च बौहत लोक बिद्रोह नीं करदे, कने सै दुष्ट माहणु प्रगट हुणा तिस्सो जे पक्का परमेशरा नाश करना।"
"2TH","2","4","तिस परमेशरा रा बरोध करना, कने हर इक्की जो तिसरी जे लोक पूजा कराँ ये कने देबता मन्नां ये तिन्हांते तिस अप्पूँजो बड़ा खास बनाणा, येत्थी तक भई तिस परमेशरा रे मन्दरा च बैठणा कने सारयां लोकां जो ये प्रचार करना भई सै खुद परमेशर आ।"
"2TH","2","5","क्या तुहांजो याद नींआं भई ताहली जे हऊँ तुहां सौगी था, तां तुहांजो ये गल्ल दस्सां था?"
"2TH","2","6","कने हुण तुहें तिसा चीज़ा जो जाणाँ ये, सै जे तिस्सो अजें तक रोकया राईं ताकि सै सही वगता पर प्रगट हो।"
"2TH","2","7","काँह्भई तिस दुष्ट माहणुये री शक्ति हुण संसारा च काम्म करया राँई, पर कोई हाया सै जे तिसा सामर्था जो रोकया राँ, कने तदुआं तकौ जे सै दूर नीं हुई जाओ, तिस लगातार रोकी रखणा।"
"2TH","2","8","फेरी तिस दुष्ट माहणुये प्रगट हुणा, तिस्सो जे प्रभु यीशुये अपणे मुँआं रे साह ने मारी देणा, कने अपणे औणे रे तेजा ते भस्म करना।"
"2TH","2","9","तिस दुष्ट माहणुये रा औणा शैतान्ना रे कम्मां रे मुतावक सब तरीके री झुट्ठी सामर्थ, कने नशाणां, कने अदभुत कम्मां सौगी हुणा,"
"2TH","2","10","कने तिस सब तरीके रा बुरा काम्म करना कने तिन्हांजो धोखा देणा सै जे परमेशरा रे जरिये नाश हुणे; तिन्हां नाश हुणा काँह्भई तिन्हें सच्चाईया जो ग्रहण कने प्यार नीं कित्या तिसते जे तिन्हारा छुटकारा हुआं।"
"2TH","2","11","इस वजह ते परमेशरे तिन्हां च इक भटकाणे औली सामर्था जो भेज्या भई सै झुट्ठा पर विश्वास करो,"
"2TH","2","12","ताकि जितणयां लोकें सच्चाईया पर विश्वास नीं कित्या, पर पापां ते खुश हुये, सै सब सजा पाओ।"
"2TH","2","13","अरे साथी विश्वासियो, कने प्रभुये रे प्यारे लोको, अहांजो तुहांरे खातर लगातार परमेशरा रा धन्यवाद करना चाहिन्दा, काँह्भई परमेशरे तुहांजो शुरू तेई पवित्र आत्मा रे जरिये पापा ते लग करीने कने सच्चाईया च तुहांरे विश्वासा रिया वजह ने छुटकारे खातर चुणीलरा।"
"2TH","2","14","तिस खातर जे परमेशरे अहां रिया खुशखबरिया रे खातर तुहांजो सद्दया, ताकि तुहें अहांरे प्रभु यीशु मसीह रिया महिमा च शामिल हुई सक्को।"
"2TH","2","15","इस खातर अरे साथी विश्वासियो, मजबूत रौआ; कने सै शिक्षां जे तुहें वचना ते या चिट्ठियां रे जरिये अहांते सीखियां तिन्हां पर लगातार विश्वास करदे रौआ।"
"2TH","2","16","अहांरा प्रभु यीशु मसीह खुद, कने अहांरा पिता परमेशर तिने जे अहांने प्यार कित्या, कने अपणे अनुग्रह ते अनन्त प्रोत्साहन कने उत्तम आशा दित्तिरी,"
"2TH","2","17","तुहांरे मना जो प्रोत्साहन देओ कने तुहांजो हरेक कम्मां कने वचना च मजबूत करो।"
"2TH","3","1","आखिर च, अरे साथी विश्वासियो, अहां खातर प्राथना करा भई प्रभुये रा वचन येढ़ा जल्दी फैल्लो कने महिमा पाओ तियां जे तुहां सौगी हुया था।"
"2TH","3","2","कने प्राथना करा भई अहें टेढे कने दुष्ट माहणुआं ते बचीरे रौ काँह्भई सारे लोक विश्वास नीं करदे।"
"2TH","3","3","पर प्रभु बफादार आ; तिस तुहांजो मजबूत करना कने तिस शैतान्ना ते बचाणे।"
"2TH","3","4","कने अहांजो प्रभुये च तुहां पर भरोसा भई जो किछ अहें तुहांजो करने जो बोल्या, तुहें तियां इ करया राँये, कने करदयां रैहणा।"
"2TH","3","5","परमेशरा रा प्यार कने मसीह रे धीरजा जो समझणे खातर प्रभु तुहांरी अगुवाई करो।"
"2TH","3","6","अरे साथी विश्वासियो, अहें तुहांजो अपणे प्रभु यीशु मसीह रे अधिकारा ते हुक्म देआंये भई तुहें हरेक येढ़े विश्वासिये ते लग रौआ सै जे आलसी आ कने सै जे शिक्षा तिन्हें अहांते पाई तिसरे मुतावक नीं चलदे।"
"2TH","3","7","काँह्भई तुहें खुद जाणाँ यें भई किसा तरीके ते अहां साई चाल चलणी चाहिन्दी, काँह्भई ताहली जे अहें तुहां सौगी थे ताहली अहें आलसी नीं थे,"
"2TH","3","8","कने किसी री रोटी मुफ्ता च नीं खाद्दी; पर मेहणत कने कष्टा ते रात दिन काम्म-धन्धा कराँ थे ताकि तुहां चते किसी पर बोझ नीं बणो।"
"2TH","3","9","अहें ये कित्या इस खातर नीं भई अहांजो तुहांते मदद पाणे रा अधिकार नीआं; पर इस खातर भई अहें अप्पूँजो तुहां खातर आदर्श बणाईये, ताकि तुहें अहां साई चाल चलो।"
"2TH","3","10","काँह्भई अहें ताहली जे तुहां सौगी थे, तां बी ये हुक्म देआं थे भई “जे कोई काम्म करना नीं चाओ तां सै रोटी बी नीं खाओ।”"
"2TH","3","11","अहें सुणां ये भई किछ लोक तुहां बिच आलसी जीवन जीआं ये, कने किछ काम्म नीं करदे, पर दुज्यां रे कम्मां च लात अड़ां ये।"
"2TH","3","12","येढ़यां जो अहें प्रभु यीशु मसीह रे अधिकारा च हुक्म देआंये कने विनती कराँ ये भई चुप-चाप काम्म करीने अपणी कमाईया री रोटी खाया करा।"
"2TH","3","13","पर तुहें, साथी विश्वासियो, भलाई करदे हुये कदीं नीं थका।"
"2TH","3","14","जे कोई अहां रिया इसा चिट्ठिया रियां गल्लां जो नीं मन्नो तां तिस पर नज़र रखा, कने तिसरी संगति नीं करा ताकि सै शर्मिन्दा हुई सक्को।"
"2TH","3","15","तां बी तुहें तिस्सो दुश्मण नीं समझा, पर विश्वासी जाणीने खबरदार करा।"
"2TH","3","16","हुण शान्ति देणे औल़ा प्रभु खुद तुहांजो हमेशा हर तरीके ने शान्ति देओ, प्रभु तुहां सब्बीं सौगी रौ।"
"2TH","3","17","हऊँ, पौलुस, अपणे हत्था ते ये नमस्कार लिखां। हरेक चिट्ठिया च हऊँ इस तरीके ने लिखां, ताकि सारे लोक जाणी सक्को भई ये चिट्ठी मेरिया तरफा तेई।"
"2TH","3","18","अहांरे प्रभु यीशु मसीह रा अनुग्रह तुहां सब्बीं पर हुन्दा रौ।"
