Book, Chapter, Verse, Text
"1TH","5","11","एस कारन एक दुए गी तसल्ली दियो ते एक दुए दी तरक्की दा कारन बनो, जियां के तोस करदे बी ओ।"
"1TH","5","12","ए विश्वासी प्राओ, अस थूआड़े अगें अर्ज करनयां न, के जेडे थूआड़े च मैनत करदे न, ते प्रभु च थूआड़े अगबें ते तुसेंगी शिखया दिन्दे न, उन्दा आदर करो।"
"1TH","5","13","ते उन्दी मैनत दे कम दै कारन प्यार कन्नें उनेंगी मते गै आदर दे लायक समझो। अप्पुं बिचें मेल मलाप कन्नें रवो।"
"1TH","5","14","ए विश्वासी प्राओ, अस थूआड़े अगें अर्ज करनयां न के, जेडे ठीक चाल नेई चलदे, उनेंगी समझाओ, डरपोक गी दलेरी दियो, कमजोरें गी संभालो, सबनी दी बर्दाश करो।"
"1TH","5","15","दिखो के, कोई कुसे कन्नें बराई दे बदले बराई नेई करै; लेकन मेशा पलाई करने लेई त्यार रवो, अप्पुं बिचें बी ते सबनी कन्नें भी पलाई दी गै कोष्ट करो।"
"1TH","5","16","मेशा खोश रवो।"
"1TH","5","17","लगातार प्रार्थना च लगे रवो।"
"1TH","5","18","अर गल्ल च शुक्र करो; किके थूआड़े आसतै मसीह यीशु च परमेसर दी ईयै मर्जी ऐ।"
"1TH","5","19","पवित्र आत्मा गी नेई बझाओ।"
"1TH","5","20","आैने आली गल्लें गी तोच्छ नेई समझो।"
"1TH","5","21","सारियें गल्लें दी परख करो; जेड़ीयां अच्छियाँ न उनेंगी पकडे रवो।"
"1TH","5","22","अर चाली दी बराई थमां बचे रवो।"
"1TH","5","23","शान्ति दा परमेसर अप्पुं गै तुसेंगी पूरी रिती कन्नें पवित्र करै; ते थूआड़ी आत्मा, प्राण ते जेंद साडे प्रभु यीशु मसीह दे वापस आैने तकर पुरे ते बेकसुर बनें दे रवो।"
"1TH","5","24","थूआड़ा बलाने आला मानदार ऐ, ते ओ इयां गै तुसे गीं बी मानदार बनाग।"
"1TH","5","25","ए प्राओ, साडे आसतै प्रार्थना करो।"
"1TH","5","26","सारें विश्वासी प्राऐं गी पवित्र चुमन कन्नें नमस्ते करो।"
"1TH","5","27","आऊँ तुसेंगी प्रभु च अर्ज करना ऐ, के ए चिठ्ठी सारें विश्वासी प्राऐं गी पढ़ीयै सनाई जा।"
"1TH","5","28","साडे प्रभु यीशु मसीह दा क्रपा थूआड़े उपर ओंदा रवै।"
